OBJECTID,GEOID20,NAME20,NAMELSAD20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Shape_Area,StCtyName,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021,POP100,HU100,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003
21,41049,Morrow,Morrow County,5259046087,44372730,+45.4254956,-119.6023111,0.60966856,MorrowOregon,Oregon,Morrow County,12186,12191,12303,5,112,31,172,29,126,2,46,0,9,2,56,2,65,1,1,14.04425574,10.28823385,3.756021883,0.734873847,4.572548379,5.307422226,11173,4442,11173,10884,8680,55,139,104,14,1892,289,270,16,107,27,4,81,9,1,0,2,7,0,10,0,2,4,16,3,0,0,11173,3497,7676,7495,7218,36,112,100,13,16,181,169,12,0,0,0,7983,7810,6452,32,101,80,7,1138,173,169,2,2,0,0,7983,2035,5948,5838,5638,19,86,80,7,8,110,108,2,0,0,0,4442,3916,526
22,41029,Jackson,Jackson County,7208590231,46774125,+42.4116214,-122.6756106,0.793753402,JacksonOregon,Oregon,Jackson County,223259,223394,223734,135,340,530,2086,733,2903,-203,-817,1,-17,356,1162,357,1145,-19,12,9.330661466,12.98509599,-3.654434524,-0.076040865,5.19761679,5.121575925,203206,90937,203206,196089,180172,1372,2386,2364,595,9200,7117,6542,795,2833,1104,312,1089,45,20,8,45,39,11,97,69,49,26,534,39,2,0,203206,21745,181461,176219,170023,1227,1874,2304,562,229,5242,4813,402,26,1,0,158894,154844,144145,982,1766,1880,403,5668,4050,3789,244,16,1,0,158894,12941,145953,142801,138053,906,1459,1841,384,158,3152,2947,194,11,0,0,90937,83076,7861
23,41051,Multnomah,Multnomah County,1116697857,88087483,+45.5477107,-122.4173625,0.13880844,MultnomahOregon,Oregon,Multnomah County,815428,815871,803377,443,-12494,2033,7481,1810,7284,223,197,33,366,163,-12983,196,-12617,24,-74,9.240091697,8.996768871,0.243322826,0.452061698,-16.03583886,-15.58377716,735334,324832,735334,701491,562421,41401,7825,47950,4029,37865,33843,30537,6713,6751,8731,840,3729,840,496,128,427,180,59,292,792,394,165,3028,243,30,5,735334,80138,655196,628647,530303,39919,5527,47508,3870,1520,26549,24038,2309,179,22,1,584651,565811,466163,29746,5895,37524,2710,23773,18840,17153,1538,126,20,3,584651,49908,534743,519595,445428,28822,4434,37212,2606,1093,15148,13821,1213,98,15,1,324832,304540,20292
24,41001,Baker,Baker County,7945996788,51832631,+44.7034268,-117.6919334,0.908215498,BakerOregon,Oregon,Baker County,16668,16689,16847,21,158,36,162,72,243,-36,-81,0,4,59,237,59,241,-2,-2,9.661259542,14.49188931,-4.830629771,0.238549618,14.13406489,14.3726145,16134,8826,16134,15753,15264,57,181,78,9,164,381,367,28,253,40,13,20,8,0,0,1,2,0,1,1,0,0,14,0,0,0,16134,528,15606,15260,14944,52,170,78,9,7,346,334,12,0,0,0,12854,12613,12271,46,138,55,8,95,241,231,10,0,0,0,12854,315,12539,12320,12079,43,128,55,8,7,219,210,9,0,0,0,8826,7040,1786
25,41003,Benton,Benton County,1748712468,7740248,+44.4938816,-123.4246641,0.198723297,BentonOregon,Oregon,Benton County,95184,95167,96017,-17,850,180,634,172,707,8,-73,5,118,-29,798,-24,916,-1,7,6.632354172,7.396016403,-0.763662231,1.234412922,8.34797891,9.582391832,85579,36245,85579,82519,74506,759,627,4429,213,1985,3060,2799,355,834,1033,127,256,16,20,4,17,10,1,16,81,25,4,245,10,6,0,85579,5467,80112,77519,71552,715,493,4404,199,156,2593,2381,201,5,6,0,70330,68304,61956,564,493,3753,165,1373,2026,1865,148,8,5,0,70330,3719,66611,64859,59915,534,403,3733,157,117,1752,1624,118,5,5,0,36245,34317,1928
26,41047,Marion,Marion County,3059028016,26557042,+44.9008984,-122.5762602,0.351555667,MarionOregon,Oregon,Marion County,345920,346202,347119,282,917,1009,3916,883,3522,126,394,1,-2,153,460,154,458,2,65,11.29635479,10.15979611,1.136558679,-0.005769333,1.326946681,1.321177348,315335,120948,315335,303129,246656,3371,4959,5995,2329,39819,12206,11292,1427,3337,1859,409,3181,115,73,7,118,69,54,252,160,145,86,839,60,14,1,315335,76594,238741,231409,216758,2906,3290,5790,2254,411,7332,6750,533,43,6,0,231954,225721,190033,2445,3440,4612,1435,23756,6233,5819,379,25,10,0,231954,43961,187993,183958,173166,2187,2444,4494,1398,269,4035,3733,277,19,6,0,120948,112957,7991
27,41023,Grant,Grant County,11726925905,1893807,+44.4963261,-119.0140572,1.326994864,GrantOregon,Oregon,Grant County,7233,7223,7272,-10,49,15,58,36,92,-21,-34,0,0,12,84,12,84,-1,-1,8.002759572,12.69403243,-4.691272853,0,11.59020352,11.59020352,7445,4344,7445,7274,7070,14,91,24,8,67,171,161,17,112,16,2,12,0,1,0,0,1,0,0,0,0,0,10,0,0,0,7445,207,7238,7082,6951,11,88,24,6,2,156,146,10,0,0,0,6015,5901,5754,9,70,21,8,39,114,107,7,0,0,0,6015,123,5892,5786,5682,9,67,21,6,1,106,99,7,0,0,0,4344,3352,992
28,41011,Coos,Coos County,4133788140,544653413,+43.1859095,-124.0941335,0.518009015,CoosOregon,Oregon,Coos County,64929,64887,64999,-42,112,146,557,295,1042,-149,-485,0,1,116,597,116,598,-9,-1,8.576751921,16.04483932,-7.4680874,0.015398118,9.192676655,9.208074773,63043,30593,63043,60314,56618,258,1589,660,117,1072,2729,2556,170,1659,287,75,232,12,5,1,4,33,13,24,26,6,9,155,13,5,0,63043,3391,59652,57344,54820,234,1467,644,104,75,2308,2175,119,9,5,0,51113,49402,46778,192,1110,527,88,707,1711,1617,83,6,5,0,51113,2036,49077,47559,45688,179,1034,514,80,64,1518,1439,69,5,5,0,30593,27133,3460
29,41043,Linn,Linn County,5929198839,50052279,+44.4888982,-122.5372084,0.676451399,LinnOregon,Oregon,Linn County,128610,128936,129839,326,903,380,1430,401,1640,-21,-210,-1,7,352,1099,351,1106,-4,7,11.05207226,12.67510386,-1.623031591,0.054101053,8.493865327,8.54796638,116672,48821,116672,112852,105669,534,1488,1111,162,3888,3820,3570,364,1733,570,139,574,12,8,13,15,11,11,36,50,25,9,229,17,4,0,116672,9127,107545,104657,101579,456,1268,1078,150,126,2888,2706,169,10,3,0,88499,86463,81702,344,1088,856,120,2353,2036,1917,107,8,4,0,88499,5176,83323,81703,79412,297,955,834,116,89,1620,1534,78,5,3,0,48821,45204,3617
30,41037,Lake,Lake County,21078901111,568489460,+42.7884009,-120.3897896,2.381909669,LakeOregon,Oregon,Lake County,8160,8149,8276,-11,127,12,81,33,108,-21,-27,0,5,12,149,12,154,-2,0,9.863013699,13.15068493,-3.287671233,0.608828006,18.14307458,18.75190259,7895,4439,7895,7633,7130,39,165,53,5,241,262,250,7,167,22,12,25,0,0,0,0,6,0,1,8,1,1,12,0,0,0,7895,545,7350,7117,6875,37,149,44,5,7,233,222,11,0,0,0,6370,6211,5864,34,122,40,5,146,159,154,5,0,0,0,6370,308,6062,5917,5725,33,113,34,5,7,145,141,4,0,0,0,4439,3378,1061
31,41069,Wheeler,Wheeler County,4444475029,1241033,+44.7364146,-120.0268608,0.504991123,WheelerOregon,Oregon,Wheeler County,1451,1457,1451,6,-6,2,10,9,18,-7,-8,0,0,13,3,13,3,0,-1,6.877579092,12.37964237,-5.502063274,0,2.063273728,2.063273728,1441,895,1441,1397,1332,0,18,8,2,37,44,44,0,33,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,62,1379,1338,1307,0,16,8,2,5,41,41,0,0,0,0,1182,1159,1115,0,10,5,2,27,23,23,0,0,0,0,1182,40,1142,1120,1100,0,10,5,2,3,22,22,0,0,0,0,895,651,244
32,41045,Malheur,Malheur County,25609051307,108997319,+43.1886252,-117.6031915,2.848136138,MalheurOregon,Oregon,Malheur County,31571,31608,31693,37,85,126,377,132,328,-6,49,0,7,43,22,43,29,0,7,11.91134421,10.36318542,1.548158797,0.221165542,0.695091705,0.916257247,31313,11692,31313,30412,24272,370,364,527,30,4849,901,866,58,267,132,16,345,0,3,0,10,6,0,13,2,12,2,34,1,0,0,31313,9867,21446,21016,19906,331,235,511,12,21,430,414,16,0,0,0,23309,22838,18839,335,258,474,19,2913,471,450,20,1,0,0,23309,5872,17437,17178,16193,311,187,467,8,12,259,250,9,0,0,0,11692,10411,1281
33,41057,Tillamook,Tillamook County,2855123461,595798340,+45.4558895,-123.7592988,0.396970407,TillamookOregon,Oregon,Tillamook County,27390,27471,27748,81,277,81,229,95,393,-14,-164,0,1,98,444,98,445,-3,-4,8.294246546,14.23423097,-5.939984426,0.036219417,16.08142125,16.11764067,25250,18359,25250,24637,23102,85,260,227,59,904,613,573,41,263,93,51,87,1,1,0,7,6,0,3,17,2,1,35,5,0,0,25250,2284,22966,22488,21902,62,220,223,56,25,478,441,33,4,0,0,20245,19874,18876,61,194,193,42,508,371,357,11,3,0,0,20245,1265,18980,18673,18210,46,172,190,40,15,307,296,9,2,0,0,18359,10834,7525
34,41039,Lane,Lane County,11795042046,436061004,+43.9283337,-122.8975806,1.371126429,LaneOregon,Oregon,Lane County,382971,382940,383189,-31,249,737,3061,1105,4449,-368,-1388,-2,82,360,1501,358,1583,-21,54,7.990821389,11.61423207,-3.623410679,0.214063167,3.918400165,4.132463332,351715,156112,351715,337052,310685,3369,4070,8322,769,9837,14663,13446,1938,5704,3129,415,1501,137,58,18,54,63,24,89,186,101,29,1114,86,17,0,351715,26167,325548,313743,297808,3102,3418,8169,732,514,11805,10871,874,52,8,0,282026,273377,253832,2482,3032,6943,603,6485,8649,8037,554,43,15,0,282026,16322,265704,258464,245734,2335,2621,6844,577,353,7240,6760,444,28,8,0,156112,145966,10146
35,41061,Union,Union County,5275651490,4936782,+45.3040809,-117.9991488,0.605892455,UnionOregon,Oregon,Union County,26196,26149,26212,-47,63,70,239,87,327,-17,-88,0,6,-29,143,-29,149,-1,2,9.128931839,12.49021218,-3.361280342,0.229178205,5.462080556,5.691258761,25748,11489,25748,25158,23968,132,289,209,227,333,590,542,71,244,97,39,71,0,2,3,0,1,4,1,7,2,0,46,1,1,0,25748,1002,24746,24264,23407,126,255,204,223,49,482,441,39,1,1,0,19951,19632,18778,97,214,166,160,217,319,297,20,1,1,0,19951,608,19343,19074,18438,92,197,162,157,28,269,251,16,1,1,0,11489,10501,988
36,41019,Douglas,Douglas County,13042430333,251869766,+43.2863277,-123.1544760,1.474375524,DouglasOregon,Oregon,Douglas County,111201,111235,111978,34,743,284,994,483,1787,-199,-793,1,-6,247,1553,248,1547,-15,-11,8.9062913,16.01161223,-7.105320927,-0.05376031,13.91496015,13.86119984,107667,48915,107667,104182,99471,317,1953,1040,122,1279,3485,3267,295,1937,435,117,332,16,18,3,2,18,7,24,44,16,3,188,18,12,0,107667,5055,102612,99693,96343,279,1799,1008,110,154,2919,2754,146,15,4,0,85573,83451,80048,207,1429,799,92,876,2122,2007,98,10,7,0,85573,3089,82484,80637,78147,193,1328,776,86,107,1847,1752,83,9,3,0,48915,44581,4334
37,53051,Pend Oreille,Pend Oreille County,3626617235,65406812,+48.5438247,-117.2321913,0.449557789,Pend OreilleWashington,Washington,Pend Oreille County,13401,13482,13886,81,404,17,123,50,201,-33,-78,0,3,116,488,116,491,-2,-9,8.988599825,14.68868752,-5.700087694,0.219234142,35.66208711,35.88132125,13001,7936,13001,12627,11907,52,488,73,16,91,374,341,28,207,47,10,19,14,0,2,4,4,0,6,0,0,0,29,4,0,0,13001,391,12610,12306,11677,50,466,73,16,24,304,285,15,4,0,0,10193,9976,9505,32,310,60,10,59,217,203,12,2,0,0,10193,235,9958,9768,9362,31,296,60,10,9,190,180,8,2,0,0,7936,5479,2457
38,53073,Whatcom,Whatcom County,5459483486,1028111662,+48.8426531,-121.8364325,0.794573246,WhatcomWashington,Washington,Whatcom County,226847,227304,228831,457,1527,511,1934,501,2098,10,-164,11,156,441,1512,452,1668,-5,23,8.47994563,9.199030989,-0.719085359,0.684008024,6.629616232,7.313624256,201140,90665,201140,193587,171816,1929,5683,7090,492,6577,7553,6863,1031,2015,2034,198,803,114,70,15,42,186,27,67,121,114,26,643,39,8,0,201140,15756,185384,179346,164675,1789,5070,6988,459,365,6038,5508,498,27,5,0,158935,154611,138888,1421,3993,5699,368,4242,4324,3978,325,14,7,0,158935,9645,149290,145656,134436,1339,3636,5632,351,262,3634,3339,280,11,4,0,90665,80370,10295
39,53007,Chelan,Chelan County,7565814942,189653434,+47.8609739,-120.6190410,0.932343093,ChelanWashington,Washington,Chelan County,79074,79185,79646,111,461,202,815,192,817,10,-2,3,-2,102,460,105,458,-4,5,10.26248025,10.28766425,-0.025184001,-0.025184001,5.792320139,5.767136138,72453,35465,72453,70463,57484,236,700,588,100,11355,1990,1880,158,573,260,74,669,7,4,0,18,3,1,47,19,31,16,99,11,0,0,72453,18713,53740,52628,51202,177,514,570,89,76,1112,1045,59,8,0,0,54390,53297,45265,158,509,440,74,6851,1093,1039,51,3,0,0,54390,11082,43308,42662,41592,118,411,426,65,50,646,611,33,2,0,0,35465,27827,7638
40,53003,Asotin,Asotin County,1647427902,11291733,+46.1818612,-117.2277813,0.193310063,AsotinWashington,Washington,Asotin County,22285,22290,22397,5,107,47,223,88,325,-41,-102,0,2,48,207,48,209,-2,0,9.980531251,14.54561729,-4.565086043,0.089511491,9.264439322,9.353950813,21623,9872,21623,21102,20392,92,302,117,36,163,521,478,70,232,61,29,56,13,0,0,2,1,0,1,9,1,3,42,0,1,0,21623,643,20980,20549,20026,89,272,114,36,12,431,403,27,0,1,0,16919,16668,16188,52,208,91,25,104,251,236,14,0,1,0,16919,367,16552,16333,15968,51,193,88,25,8,219,209,9,0,1,0,9872,9236,636
41,53019,Ferry,Ferry County,5706368585,140294391,+48.4732563,-118.5335894,0.711056646,FerryWashington,Washington,Ferry County,7178,7178,7273,0,95,15,68,38,91,-23,-23,0,0,24,120,24,120,-1,-2,9.411113418,12.59428413,-3.183170715,0,16.60784721,16.60784721,7551,4403,7551,7192,5758,26,1259,52,8,89,359,342,27,253,24,3,5,1,1,0,0,8,2,9,1,8,0,15,1,1,0,7551,254,7297,6963,5662,18,1215,52,8,8,334,320,13,1,0,0,6053,5822,4808,17,891,35,8,63,231,219,11,0,1,0,6053,168,5885,5669,4743,14,862,35,8,7,216,206,10,0,0,0,4403,3190,1213
42,53017,Douglas,Douglas County,4711819965,76557106,+47.7417625,-119.6946219,0.574187196,DouglasWashington,Washington,Douglas County,42938,42998,43696,60,698,131,469,98,396,33,73,3,38,24,589,27,627,0,-2,10.81966457,9.135580317,1.68408425,0.876646596,13.58802224,14.46466884,38431,16004,38431,37420,30573,128,405,283,52,5979,1011,963,87,293,176,37,289,9,6,0,7,6,0,12,6,25,10,47,1,0,0,38431,11013,27418,26820,26070,85,293,269,51,52,598,572,25,1,0,0,27960,27465,23347,91,270,216,33,3508,495,477,18,0,0,0,27960,6327,21633,21318,20768,62,210,210,32,36,315,303,12,0,0,0,16004,13894,2110
43,53005,Benton,Benton County,4403309851,154293639,+46.2281252,-119.5166594,0.531613057,BentonWashington,Washington,Benton County,206873,207230,210025,357,2795,604,2447,522,1926,82,521,5,100,267,2166,272,2266,3,8,11.7290386,9.231764748,2.497273849,0.479323196,10.38214042,10.86146361,175177,68618,175177,168955,144418,2221,1574,4691,253,15798,6222,5851,947,1334,1157,134,1882,21,33,3,108,28,7,41,50,89,17,335,24,7,5,175177,32696,142481,138850,130437,2031,1280,4621,221,260,3631,3394,213,14,5,5,127513,124532,108774,1472,1120,3574,166,9426,2981,2837,127,9,5,3,127513,18650,108863,106971,100826,1380,934,3532,151,148,1892,1792,86,6,5,3,68618,65304,3314
44,53023,Garfield,Garfield County,1841054897,19294817,+46.4293176,-117.5367052,0.217748608,GarfieldWashington,Washington,Garfield County,2286,2292,2346,6,54,7,18,7,24,0,-6,0,0,7,61,7,61,-1,-1,7.761966365,10.34928849,-2.587322122,0,26.30444157,26.30444157,2266,1233,2266,2222,2125,0,6,39,0,52,44,36,3,11,8,7,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2266,91,2175,2149,2102,0,5,38,0,4,26,23,3,0,0,0,1812,1788,1725,0,5,29,0,29,24,21,3,0,0,0,1812,50,1762,1749,1713,0,4,28,0,4,13,13,0,0,0,0,1233,989,244
45,53033,King,King County,5478417256,497859101,+47.4905518,-121.8339765,0.713318529,KingWashington,Washington,King County,2269675,2272571,2252305,2896,-20266,5932,23082,4062,16444,1870,6638,296,5984,632,-32802,928,-26818,98,-86,10.20226853,7.268265473,2.934003053,2.644934358,-14.49851885,-11.8535845,1931249,851261,1931249,1834450,1325845,119801,16147,282075,14486,76096,96799,86587,15567,13359,33351,2562,8207,2172,2575,514,1297,989,174,468,2646,2317,389,9172,933,107,0,1931249,172378,1758871,1679342,1251300,116326,12931,280029,14068,4688,79529,71441,7363,665,60,0,1517747,1466179,1083921,86901,12201,222327,9905,50924,51568,46624,4471,403,70,0,1517747,113079,1404668,1361922,1033516,84750,10126,220884,9656,2990,42746,38701,3703,299,43,0,851261,789232,62029
46,53049,Pacific,Pacific County,2418037245,758680651,+46.5565866,-123.7824193,0.372635028,PacificWashington,Washington,Pacific County,23365,23470,23948,105,478,33,167,79,399,-46,-232,2,31,153,689,155,720,-4,-10,7.043738665,16.82905226,-9.785313594,1.307520351,29.06069425,30.3682146,20920,15547,20920,20216,18286,79,483,427,15,926,704,654,39,414,93,4,70,2,5,0,1,6,0,3,11,6,0,46,4,0,0,20920,1677,19243,18644,17699,67,427,424,14,13,599,556,40,3,0,0,17172,16757,15452,43,349,331,12,570,415,391,22,2,0,0,17172,983,16189,15823,15122,37,312,329,11,12,366,345,20,1,0,0,15547,9499,6048
47,53039,Klickitat,Klickitat County,4847515940,84930636,+45.8704463,-120.7793049,0.57158018,KlickitatWashington,Washington,Klickitat County,22735,22783,23118,48,335,47,196,67,256,-20,-60,1,11,69,388,70,399,-2,-4,8.540118952,11.15444108,-2.614322128,0.47929239,16.90594976,17.38524215,20318,9786,20318,19648,17824,50,481,127,19,1147,670,633,38,302,110,17,126,3,4,0,9,3,2,8,5,2,4,32,4,1,0,20318,2171,18147,17652,17022,42,434,122,17,15,495,468,23,3,1,0,15835,15463,14260,27,353,101,14,708,372,352,15,4,1,0,15835,1260,14575,14272,13801,26,320,99,13,13,303,289,10,3,1,0,9786,8327,1459
48,53055,San Juan,San Juan County,450432205,1157478544,+48.5071904,-123.1037693,0.19590317,San JuanWashington,Washington,San Juan County,17788,17818,18557,30,739,28,96,38,174,-10,-78,0,4,44,827,44,831,-4,-14,5.278350516,9.567010309,-4.288659794,0.219931272,45.47079038,45.69072165,15769,13313,15769,15370,14597,54,111,181,15,412,399,384,27,191,96,8,46,1,0,0,2,2,0,0,4,7,0,15,0,0,0,15769,857,14912,14589,14228,49,84,179,14,35,323,313,10,0,0,0,13276,13031,12482,32,86,146,14,271,245,237,8,0,0,0,13276,561,12715,12507,12223,31,66,145,13,29,208,202,6,0,0,0,13313,7613,5700
49,53027,Grays Harbor,Grays Harbor County,4924794342,834310602,+47.1137324,-123.8267349,0.682961099,Grays HarborWashington,Washington,Grays Harbor County,75636,75811,76841,175,1030,168,694,267,1077,-99,-383,0,-4,278,1428,278,1424,-4,-11,9.092576579,14.1105259,-5.017949323,-0.052406781,18.70922097,18.65681419,72797,35166,72797,69984,61825,803,3325,1032,182,2817,2813,2612,246,1311,411,68,352,26,10,5,7,49,21,63,20,19,4,187,14,0,0,72797,6272,66525,64293,59282,762,3005,995,177,72,2232,2087,134,11,0,0,57073,55518,49834,650,2316,838,145,1735,1555,1459,89,7,0,0,57073,3593,53480,52167,48365,625,2175,807,140,55,1313,1234,73,6,0,0,35166,28579,6587
50,53015,Cowlitz,Cowlitz County,2955587569,65453464,+46.1967854,-122.6784596,0.352086526,CowlitzWashington,Washington,Cowlitz County,110730,110924,111524,194,600,332,1186,380,1388,-48,-202,2,22,244,770,246,792,-4,10,10.66316622,12.47932101,-1.816154787,0.197799036,6.922966266,7.120765303,102410,43450,102410,98588,91069,642,1570,1500,232,3575,3822,3547,426,1610,551,143,609,20,10,3,18,22,6,47,36,27,19,259,13,3,0,102410,7975,94435,91503,87825,572,1361,1472,209,64,2932,2732,188,11,1,0,77689,75691,70717,425,1137,1171,154,2087,1998,1886,103,8,1,0,77689,4328,73361,71676,68947,388,1010,1148,144,39,1685,1599,78,7,1,0,43450,40244,3206
51,53071,Walla Walla,Walla Walla County,3289370358,74932288,+46.2546057,-118.4803697,0.392350422,Walla WallaWashington,Washington,Walla Walla County,62584,62574,62682,-10,108,133,576,183,700,-50,-124,5,55,37,167,42,222,-2,10,9.197164208,11.17710928,-1.979945072,0.878201443,2.666538928,3.544740372,58781,23451,58781,56953,49654,1079,603,758,167,4692,1828,1707,221,460,334,73,466,16,4,6,17,5,1,22,44,25,13,110,9,2,0,58781,11593,47188,46006,43604,1004,452,733,159,54,1182,1097,77,6,2,0,45541,44525,39439,943,453,641,134,2915,1016,956,51,7,2,0,45541,7001,38540,37823,35784,894,359,619,128,39,717,671,39,5,2,0,23451,21719,1732
52,53025,Grant,Grant County,6940003417,289811930,+47.2136328,-119.4677880,0.858352972,GrantWashington,Washington,Grant County,99123,99365,100297,242,932,359,1329,227,885,132,444,18,86,89,382,107,468,3,20,13.31249812,8.864981819,4.447516303,0.86145586,3.826466729,4.687922589,89120,35083,89120,86019,64906,990,1088,810,71,18154,3101,2939,323,771,336,41,1244,23,15,2,48,17,0,52,15,40,12,135,15,12,0,89120,34163,54957,53487,51066,710,779,783,54,95,1470,1391,67,6,6,0,61895,60339,47496,683,765,654,48,10693,1556,1497,52,2,5,0,61895,19650,42245,41452,39633,518,567,635,37,62,793,764,24,2,3,0,35083,30041,5042
53,53001,Adams,Adams County,4985698856,12464425,+47.0112378,-118.5128614,0.590954614,AdamsWashington,Washington,Adams County,20613,20605,20621,-8,16,84,352,28,142,56,210,4,49,-68,-246,-64,-197,0,3,17.07660214,6.888856547,10.1877456,2.377140639,-11.93421627,-9.557075632,18728,6242,18728,18196,11703,109,356,125,4,5899,532,506,22,68,34,21,288,1,5,0,13,1,0,21,3,28,1,22,4,0,0,18728,11099,7629,7505,7262,47,76,99,3,18,124,115,9,0,0,0,12216,11929,8148,49,217,87,3,3425,287,273,12,2,0,0,12216,6319,5897,5828,5676,16,52,72,2,10,69,62,7,0,0,0,6242,5720,522
54,53011,Clark,Clark County,1627792396,70200672,+45.7717295,-122.4859533,0.19643642,ClarkWashington,Washington,Clark County,503311,505013,511404,1702,6391,1374,5332,1184,4708,190,624,9,223,1494,5515,1503,5738,9,29,10.49175683,9.263914319,1.22784251,0.438796281,10.85184526,11.29064154,425363,167413,425363,408144,363397,8426,3624,17504,2708,12485,17219,15652,3183,4139,4247,761,1861,225,187,49,135,79,44,48,392,217,85,1415,125,27,0,425363,32166,393197,379292,347793,8025,2970,17276,2589,639,13905,12697,1104,80,24,0,312788,304879,273989,5775,2631,13056,1756,7672,7909,7266,574,53,16,0,312788,18594,294194,287588,264766,5578,2209,12924,1702,409,6606,6092,464,37,13,0,167413,158099,9314
55,53043,Lincoln,Lincoln County,5984421204,75265950,+47.5827433,-118.4176925,0.724437608,LincolnWashington,Washington,Lincoln County,10876,10920,11232,44,312,30,95,28,160,2,-65,0,1,44,382,44,383,-2,-6,8.577103648,14.44564825,-5.868544601,0.090285302,34.48898519,34.5792705,10570,5776,10570,10334,10038,28,173,41,5,49,236,226,18,127,40,2,25,7,1,1,0,0,3,0,1,1,0,10,0,0,0,10570,239,10331,10129,9891,25,162,41,5,5,202,192,10,0,0,0,8174,8037,7826,13,124,36,5,33,137,130,7,0,0,0,8174,151,8023,7900,7727,10,118,36,5,4,123,116,7,0,0,0,5776,4422,1354
56,53035,Kitsap,Kitsap County,1023308791,442187072,+47.6395948,-122.6496339,0.175410015,KitsapWashington,Washington,Kitsap County,275611,275660,274314,49,-1346,723,2755,662,2832,61,-77,-4,42,3,-1331,-1,-1289,-11,20,10.01865543,10.29866866,-0.280013237,0.152734493,-4.840228811,-4.687494318,251133,107367,251133,236684,207369,6650,4040,12396,2310,3919,14449,12896,2127,3261,4400,714,898,159,241,105,82,196,66,45,403,143,56,1413,117,16,7,251133,15686,235447,223280,198745,6329,3524,12082,2177,423,12167,10962,1103,81,16,5,194637,187550,165138,5111,2884,9982,1656,2779,7087,6455,574,45,8,5,194637,9892,184745,178626,159544,4892,2566,9779,1574,271,6119,5616,462,30,8,3,107367,97220,10147
57,53075,Whitman,Whitman County,5592463291,48246698,+46.9059441,-117.5353898,0.665917975,WhitmanWashington,Washington,Whitman County,47973,47786,47873,-187,87,115,329,78,317,37,12,4,143,-233,-75,-229,68,5,7,6.878600027,6.627708841,0.250891186,2.989786638,-1.568069915,1.421716723,44776,19323,44776,43146,37866,748,308,3472,103,649,1630,1488,198,402,619,47,116,14,29,5,4,2,3,7,26,11,5,124,13,5,0,44776,2040,42736,41343,36760,721,272,3449,99,42,1393,1281,98,11,3,0,38035,36845,32293,612,239,3063,96,542,1190,1077,99,9,5,0,38035,1579,36456,35402,31423,586,216,3048,93,36,1054,963,80,8,3,0,19323,17468,1855
58,53045,Mason,Mason County,2485218918,236969801,+47.3508322,-123.1731033,0.324060779,MasonWashington,Washington,Mason County,65726,66028,67615,302,1587,179,644,199,832,-20,-188,2,59,324,1737,326,1796,-4,-21,9.637616635,12.45108236,-2.813465726,0.88294935,25.99462748,26.87757683,60699,32518,60699,58186,52281,659,2239,731,227,2049,2513,2342,241,1105,404,116,275,30,9,4,19,15,10,47,56,6,5,160,11,0,0,60699,4844,55855,53809,50349,609,1864,692,214,81,2046,1923,117,6,0,0,48325,46923,42763,549,1571,614,171,1255,1402,1338,59,5,0,0,48325,2871,45454,44252,41553,521,1361,593,161,63,1202,1155,44,3,0,0,32518,23832,8686
59,53057,Skagit,Skagit County,4481316828,483781973,+48.4932917,-121.8157703,0.603975334,SkagitWashington,Washington,Skagit County,129523,129852,130696,329,844,341,1340,339,1555,2,-215,17,131,318,921,335,1052,-8,7,10.28601256,11.93638025,-1.650367687,1.00557287,7.069714602,8.075287471,116901,51473,116901,113162,97448,774,2516,2080,226,10118,3739,3499,437,1190,637,87,779,55,23,5,43,28,8,88,53,44,22,224,8,5,3,116901,19709,97192,94736,89694,640,2038,2025,180,159,2456,2286,158,7,2,3,89164,87198,77267,529,1666,1646,148,5942,1966,1871,86,5,3,1,89164,11292,77872,76501,72786,448,1421,1615,127,104,1371,1300,63,5,2,1,51473,45557,5916
